,Mobility Profile
2016-01-01 04:53:00+00:00,95666.23638235222
2016-01-01 04:54:00+00:00,70056.45321641886
2016-01-01 04:55:00+00:00,66889.7611788705
2016-01-01 04:56:00+00:00,69755.22735035482
2016-01-01 04:57:00+00:00,49927.94690810157
2016-01-01 04:58:00+00:00,58588.05206043822
2016-01-01 04:59:00+00:00,87458.23466155298
2016-01-01 05:00:00+00:00,97816.03945935096
2016-01-01 05:01:00+00:00,118953.26376681034
2016-01-01 05:02:00+00:00,130303.09655673464
2016-01-01 05:03:00+00:00,141878.20484490428
2016-01-01 05:04:00+00:00,133841.79225591215
2016-01-01 05:05:00+00:00,156169.9846112562
2016-01-01 05:06:00+00:00,164436.40277916664
2016-01-01 05:07:00+00:00,153868.53803114817
2016-01-01 05:08:00+00:00,145074.8979335983
2016-01-01 05:09:00+00:00,155122.94677658373
2016-01-01 05:10:00+00:00,169463.05069755105
2016-01-01 05:11:00+00:00,165898.09861202262
2016-01-01 05:12:00+00:00,154323.30141784725
2016-01-01 05:13:00+00:00,164181.51184797668
2016-01-01 05:14:00+00:00,141853.3240545523
2016-01-01 05:15:00+00:00,133586.90018424188
2016-01-01 05:16:00+00:00,133586.9001842419
2016-01-01 05:17:00+00:00,141960.06258300968
2016-01-01 05:18:00+00:00,146349.60429099502
2016-01-01 05:19:00+00:00,188008.3945461316
2016-01-01 05:20:00+00:00,189762.10774109446
2016-01-01 05:21:00+00:00,159832.01361821665
2016-01-01 05:22:00+00:00,159832.01247773666
2016-01-01 05:23:00+00:00,173981.85211489478
2016-01-01 05:24:00+00:00,173981.85211489478
2016-01-01 05:25:00+00:00,201916.29910573858
2016-01-01 05:26:00+00:00,189371.9311752458
2016-01-01 05:27:00+00:00,193306.4479429471
2016-01-01 05:28:00+00:00,203641.11433408613
2016-01-01 05:29:00+00:00,174819.25671480093
2016-01-01 05:30:00+00:00,161451.0940323447
2016-01-01 05:31:00+00:00,168970.54079312715
2016-01-01 05:32:00+00:00,178508.86449852175
2016-01-01 05:33:00+00:00,179337.8421862381
2016-01-01 05:34:00+00:00,179913.92925314748
2016-01-01 05:35:00+00:00,174247.81539434474
2016-01-01 05:36:00+00:00,195094.01622985597
2016-01-01 05:37:00+00:00,182084.13603049616
2016-01-01 05:38:00+00:00,176449.9276006259
2016-01-01 05:39:00+00:00,206045.79587481887
2016-01-01 05:40:00+00:00,202169.3009673077
2016-01-01 05:41:00+00:00,181334.7389595439
2016-01-01 05:42:00+00:00,203426.13220517634
2016-01-01 05:43:00+00:00,191643.46243657358
2016-01-01 05:44:00+00:00,189194.09840988298
2016-01-01 05:45:00+00:00,194758.35439398547
2016-01-01 05:46:00+00:00,177737.94686118342
2016-01-01 05:47:00+00:00,199398.4841086482
2016-01-01 05:48:00+00:00,199398.4818276882
2016-01-01 05:49:00+00:00,212332.43272897275
